document_id,source_file,original_characters,cleaned_characters,characters_removed,reduction_percent
readme,README.md,7052,3104,3948,55.984117980714686
benefits_and_perks_vacation_and_sick_leave,Benefits and Perks/Vacation and Sick Leave.md,984,894,90,9.146341463414634
operations_documents_sharing_files,Operations Documents/Sharing Files.md,1428,1351,77,5.392156862745098
policy_changes,Policy Changes.md,6371,6123,248,3.8926385182859833
employment_policies_salary_and_equity_compensation,Employment Policies/Salary and Equity Compensation.md,3084,2985,99,3.2101167315175094
employment_policies_working_remotely,Employment Policies/Working Remotely.md,6860,6645,215,3.1341107871720117
employment_policies_code_of_conduct_in_the_community,Employment Policies/Code of Conduct in the Community.md,2153,2119,34,1.5791918253599628
onboarding_documents_welcome_to_clef,Onboarding Documents/Welcome to Clef.md,5873,5805,68,1.157840967137749
hiring_documents_handbook_introduction,Hiring Documents/Handbook Introduction.md,897,888,9,1.0033444816053512
benefits_and_perks_other_protected_absences,Benefits and Perks/Other Protected Absences.md,1733,1728,5,0.28851702250432776
operations_documents_effective_meetings,Operations Documents/Effective Meetings.md,1767,1762,5,0.2829654782116582
employment_policies_drug_and_alcohol_policy,Employment Policies/Drug and Alcohol Policy.md,1161,1158,3,0.2583979328165375
mission_statement,Mission Statement.md,392,391,1,0.25510204081632654
benefits_and_perks_sabbatical,Benefits and Perks/Sabbatical.md,1688,1685,3,0.17772511848341233
employment_policies_complaint_policy,Employment Policies/Complaint Policy.md,2282,2278,4,0.175284837861525
employment_policies_at_will_employment,Employment Policies/At-Will Employment.md,571,570,1,0.17513134851138354
benefits_and_perks_holiday_list,Benefits and Perks/Holiday List.md,1204,1202,2,0.16611295681063123
employment_policies_equal_opportunity_employment,Employment Policies/Equal Opportunity Employment.md,727,726,1,0.1375515818431912
clef_values,Clef Values.md,1491,1489,2,0.1341381623071764
benefits_and_perks_new_parent_leave,Benefits and Perks/New Parent Leave.md,1503,1501,2,0.1330671989354624
operations_documents_budgeting,Operations Documents/Budgeting.md,784,783,1,0.12755102040816327
onboarding_documents_direct_reports,Onboarding Documents/Direct Reports.md,803,802,1,0.12453300124533001
onboarding_documents_one_on_ones,Onboarding Documents/One on Ones.md,3008,3005,3,0.09973404255319149
benefits_and_perks_healthcare_and_disability_insurance,Benefits and Perks/Healthcare and Disability Insurance.md,1245,1244,1,0.08032128514056225
operations_documents_hack_weeks,Operations Documents/Hack Weeks.md,1410,1409,1,0.07092198581560284
onboarding_documents_communication_and_transparency,Onboarding Documents/Communication and Transparency.md,5719,5716,3,0.05245672320335724
benefits_and_perks_referral_bonuses,Benefits and Perks/Referral Bonuses.md,2022,2021,1,0.04945598417408506
benefits_and_perks_continuing_education,Benefits and Perks/Continuing Education.md,2697,2696,1,0.03707823507601038
onboarding_documents_product_manifesto,Onboarding Documents/Product Manifesto.md,3459,3458,1,0.028910089621277828
employment_policies_employee_privacy,Employment Policies/Employee Privacy.md,4399,4398,1,0.022732439190725165
onboarding_documents_objectives_and_key_results,Onboarding Documents/Objectives and Key Results.md,4648,4647,1,0.02151462994836489
