semantic_top_k,final_top_k,top1_accuracy,top3_recall,top5_recall,top1_correct,top3_correct,top5_correct,runtime_seconds
5,3,0.90625,0.90625,0.90625,29,29,29,1.1162595748901367
5,5,0.90625,0.90625,0.9375,29,29,30,1.1788556575775146
10,3,0.90625,0.96875,0.96875,29,31,31,2.0469892024993896
10,5,0.90625,0.96875,0.96875,29,31,31,1.649564504623413
15,3,0.90625,0.96875,0.96875,29,31,31,2.4168574810028076
15,5,0.90625,0.96875,0.96875,29,31,31,2.4113903045654297
20,3,0.90625,0.96875,0.96875,29,31,31,3.275566339492798
20,5,0.90625,0.96875,0.96875,29,31,31,3.7201342582702637
30,3,0.90625,0.96875,0.96875,29,31,31,5.050755500793457
30,5,0.90625,0.96875,0.96875,29,31,31,5.355206251144409
40,3,0.90625,0.96875,0.96875,29,31,31,6.272046089172363
40,5,0.90625,0.96875,0.96875,29,31,31,6.280862092971802
