semantic_top_k,final_top_k,top1_accuracy,top3_recall,top5_recall,top1_correct,top3_correct,top5_correct,runtime_seconds
5,3,0.8478260869565217,0.9130434782608695,0.9130434782608695,78,84,84,2.832540512084961
5,5,0.8478260869565217,0.9130434782608695,0.9130434782608695,78,84,84,2.5675504207611084
10,3,0.8586956521739131,0.9021739130434783,0.9021739130434783,79,83,83,4.6686484813690186
10,5,0.8586956521739131,0.9021739130434783,0.9347826086956522,79,83,86,4.553675413131714
15,3,0.8586956521739131,0.9021739130434783,0.9021739130434783,79,83,83,6.315278053283691
15,5,0.8586956521739131,0.9021739130434783,0.9239130434782609,79,83,85,6.809898853302002
20,3,0.8586956521739131,0.9021739130434783,0.9021739130434783,79,83,83,8.87821340560913
20,5,0.8586956521739131,0.9021739130434783,0.9130434782608695,79,83,84,8.50623869895935
30,3,0.8586956521739131,0.8913043478260869,0.8913043478260869,79,82,82,13.59025526046753
30,5,0.8586956521739131,0.8913043478260869,0.9130434782608695,79,82,84,13.864474773406982
40,3,0.8586956521739131,0.8913043478260869,0.8913043478260869,79,82,82,16.398261308670044
40,5,0.8586956521739131,0.8913043478260869,0.9130434782608695,79,82,84,16.24716281890869
